XYZ (105953 points)
124.450 30.840 53.426
124.530 30.832 55.345
124.612 30.823 55.089
124.696 30.812 56.489
124.781 30.800 51.674
124.869 30.787 48.000
124.957 30.772 58.435
125.048 30.755 52.421
125.140 30.736 55.997
125.234 30.716 62.118
125.330 30.693 66.151
125.427 30.668 64.757
125.526 30.640 73.695
125.626 30.610 70.560
125.728 30.576 74.000
125.832 30.539 78.116
125.936 30.498 79.719
126.040 30.453 72.780
126.140 30.423 78.332
126.233 30.362 85.532
126.339 30.305 88.765
126.446 30.242 100.574
126.552 30.171 93.519
126.657 30.094 92.302
126.760 30.008 113.178
126.859 29.912 99.550
126.970 29.803 108.642
127.056 29.673 110.623
127.135 29.549 126.921
127.203 29.416 134.276
127.262 29.276 245.846
127.312 29.130 465.256
127.352 28.978 849.405
127.384 28.821 967.857
127.409 28.659 1047.307
127.427 28.495 1100.000
127.439 28.327 1101.000
127.445 28.156 1064.365
127.447 27.982 1232.838
127.443 27.806 1372.624
127.435 27.627 1666.205
127.421 27.447 786.221
127.403 27.264 1032.589
127.380 27.079 936.795
127.352 26.892 1167.606
127.318 26.703 695.685
127.279 26.514 475.767
127.234 26.323 175.708
127.183 26.130 261.541
127.127 25.937 523.234
127.066 25.744 980.355
127.000 25.552 1622.932
126.912 25.392 1775.458
126.866 25.207 1994.395
126.782 25.016 1818.215
126.693 24.823 1934.997
126.599 24.630 1784.920
126.499 24.437 1980.074
126.394 24.243 1697.710
126.262 24.042 2103.640
126.152 23.831 3073.921
126.034 23.640 6311.871
125.914 23.451 6662.710
125.790 23.266 5977.956
125.663 23.075 5876.973
125.539 22.886 5505.300
125.409 22.698 5706.334
125.275 22.512 5363.348
125.141 22.325 5590.369
125.005 22.135 5608.436
124.867 21.947 5117.208
124.727 21.761 5628.093
124.576 21.617 5457.229
124.467 21.431 5667.037
124.314 21.247 4795.173
124.156 21.060 5430.836
123.967 20.869 5570.610
123.798 20.663 5589.280
123.622 20.481 5542.647
123.439 20.302 5457.392
123.249 20.126 5330.631
123.043 19.965 5199.298
122.835 19.818 4356.927
122.580 19.907 2526.023
122.387 19.726 2959.958
122.215 19.554 2450.598
121.964 19.584 48.380
121.702 19.634 1522.428
121.551 19.423 918.154
121.289 19.398 598.399
121.200 19.158 133.233
120.922 19.090 3504.782
120.848 18.809 2126.515
120.552 18.613 419.323
120.569 18.177 9.222
121.693 30.827 7.000
121.708 30.803 7.000
121.726 30.778 7.132
121.738 30.753 7.975
121.748 30.728 8.000
121.764 30.703 8.000
121.792 30.682 8.000
121.820 30.685 8.000
121.848 30.688 8.000
121.876 30.692 8.105
121.904 30.697 8.015
121.932 30.703 8.302
121.960 30.710 9.000
121.988 30.717 8.371
121.678 30.852 1.947
122.016 30.724 7.820
122.045 30.731 8.000
122.074 30.737 7.285
122.104 30.744 7.605
122.134 30.750 7.736
122.165 30.756 8.000
122.196 30.762 8.000
122.227 30.768 8.670
122.259 30.773 9.000
122.293 30.779 9.777
122.330 30.782 9.684
122.366 30.789 11.726
122.401 30.793 14.630
122.437 30.797 19.365
122.473 30.801 18.004
122.510 30.805 16.085
122.548 30.808 20.257
122.586 30.811 36.725
122.625 30.814 13.173
122.665 30.816 21.332
122.706 30.819 31.697
122.748 30.821 26.814
122.791 30.822 24.201
122.834 30.824 25.145
122.879 30.825 29.250
122.924 30.826 34.875
122.970 30.826 39.941
123.018 30.827 44.873
123.067 30.827 47.783
123.116 30.827 49.623
123.167 30.826 50.355
123.218 30.825 53.000
123.271 30.825 54.969
123.325 30.824 53.961
123.380 30.822 51.000
123.436 30.821 53.000
123.494 30.820 54.759
123.552 30.818 57.690
123.612 30.817 53.633
123.674 30.815 60.702
123.736 30.814 62.695
123.800 30.813 48.520
123.858 30.804 48.259
123.918 30.809 51.133
123.985 30.806 59.335
124.055 30.803 52.632
124.126 30.799 44.908
124.198 30.794 50.632
124.272 30.788 56.083
124.348 30.781 57.242
124.425 30.773 57.234
124.503 30.764 59.858
124.584 30.753 57.272
124.666 30.742 53.252
124.749 30.729 54.434
124.835 30.714 56.223
124.921 30.698 62.142
125.010 30.680 54.875
125.100 30.661 54.780
125.192 30.639 60.436
125.285 30.615 61.843
125.380 30.589 66.999
125.477 30.561 68.585
125.575 30.529 72.885
125.675 30.495 71.613
125.775 30.457 74.312
125.878 30.416 77.493
125.982 30.370 74.178
126.100 30.322 80.552
126.211 30.255 83.419
126.316 30.193 75.111
126.420 30.126 89.646
126.523 30.052 93.748
126.623 29.971 93.987
126.721 29.884 94.714
126.816 29.784 101.000
126.900 29.677 109.718
126.978 29.560 111.000
127.048 29.435 121.280
